Document,Primary Introducer,Status,Description,Document ID,Year
LB1021,Groene,Referral,Provide for an expedited review of certain redevelopment plans under the Community Development Law,40922,2020
LB1022,"Hansen, M.",Referral,Provide for election of election commissioners and eliminate certain deputy positions,40799,2020
LB1023,DeBoer,Referral,Adopt the Extraordinary Increase in Special Education Cost Act,41272,2020
LB1024,Clements,Referral,Change provisions of the Intergovernmental Risk Management Act,41254,2020
LB1025,Bolz,Referral,Create the Tax Credit Buy-Back Program,41258,2020
LB1026,Bolz,Referral,Appropriate funds to the University of Nebraska,41505,2020
LB1027,Lathrop,Referral,Adopt the County Court Special Proceedings Act,41276,2020
LB1028,Lathrop,Select File,Change provisions relating to courts,41437,2020
LB1029,Lathrop,Referral,Change requirements for preservation of court records,41436,2020
LB1030,Lathrop,Referral,"Change requirements relating to forfeited recognizances, fines, and costs",41435,2020
LB1031,Lathrop,Referral,"Change provisions relating to probate, testacy, and appointment proceedings",41438,2020
LB1032,Lathrop,Referral,Change provisions relating to civil judgments,41434,2020
LB1033,Friesen,General File,Change the distribution of sales tax revenue and authorize the use of funds for certain infrastructure projects,40801,2020
LB1034,Friesen,Referral,Extend the application deadline and change certain credits under the Nebraska Advantage Act,41255,2020
LB1035,Friesen,Referral,Change the number of legislative districts,41453,2020
LB1036,Morfeld,Referral,Allow persons eighteen years of age to make health care decisions and persons under nineteen years of age in correctional facilities to consent to medical and mental health care,40840,2020
LB1037,Hunt,Referral,Change provisions relating to household eligibility for Supplemental Nutrition Assistance Program benefits,41296,2020
LB1038,Hunt,Referral,Change provisions relating to eligibility for Supplemental Nutrition Assistance Program benefits,40900,2020
LB1039,Cavanaugh,Referral,Adopt the Hunger-Free Schools Act,41305,2020
LB1040,Vargas,Referral,Provide for a state food insecurity nutrition incentive grant program,41382,2020
LB1041,Pansing Brooks,Referral,Change provisions relating to grand jury transcripts,41041,2020
LB1042,La Grone,Select File,Change provisions regarding the Nebraska educational savings plan trust and the Meadowlark Program and provide for tax deductions for certain contributions,41347,2020
LB1042A,La Grone,Select File,Appropriation Bill,42229,2020
LB1043,"Hansen, B.",Referral,Change provisions relating to regulation of health care facilities,40952,2020
LB1044,"Hansen, B.",Referral,Change provisions relating to the practice of medical nutrition therapy,41248,2020
LB1045,Brandt,Referral,Require the posting and reporting of tax incentive information under the Taxpayer Transparency Act,41277,2020
LB1046,Friesen,Referral,Change provisions relating to taxes and fees on community antenna television service,41207,2020
LB1047,Friesen,General File,Change provisions relating to semiannual statements of county treasurers,40993,2020
LB1048,Quick,Referral,Create the offense of sexual assault by a school employee and provide notification to the Commissioner of Education,41321,2020
LB1049,Bolz,Referral,Provide for participation in federal Child Care Subsidy child care assistance as prescribed,41203,2020
LB1050,Vargas,Referral,Appropriate funds to the Coordinating Commission for Postsecondary Education,41480,2020
LB1051,Wishart,Referral,Create the Intergenerational Care Facility Incentive Cash Fund and provide for grants,41403,2020
LB1052,Wishart,General File,Change provisions regarding the preferred drug list under the Medical Assistance Act,41192,2020
LB1053,Health and Human Services Committee,General File,Require rules and regulations for hospital and nursing facility medicaid reimbursement rates,41157,2020
LB1054,Kolterman,Final Reading,Define the required beginning date and change deferment of payment provisions under certain retirement plans,41316,2020
LB1055,Brewer,Select File,Change provisions for voting by mail in certain counties,41372,2020
LB1056,Lowe,General File,Provide for temporary expansion of licensed premises under the Nebraska Liquor Control Act,40895,2020
LB1056A,Lowe,General File,Appropriation Bill,42228,2020
LB1057,Lowe,Referral,Change provisions regarding appeals of certain zoning decisions by county planning commissions and county boards,41238,2020
LB1058,Howard,Referral,Adopt the Population Health Information Act,41511,2020
LB1059,Howard,Referral,Change provisions relating to health care facility licensure,41413,2020
LB1060,Cavanaugh,Select File,Include hair textures and protective hairstyles within the definition of race under the Nebraska Fair Employment Practice Act,41502,2020
LB1061,Crawford,Final Reading,Change the Child Protection and Family Safety Act and eliminate a committee,41149,2020
LB1062,Lathrop,Referral,Allow the Department of Correctional Services to establish a predischarge reentry pilot program,41485,2020
LB1063,Lindstrom,Referral,Change provisions relating to the State Treasurer and treasury management,41048,2020
LB1064,Briese,General File,Change provisions relating to the sale and use of tobacco products,41370,2020
LB1065,Halloran,Referral,"Change provisions regarding pharmacies, pharmacists, and pharmacy personnel",41221,2020
LB1066,Erdman,Referral,Change provisions for modifying school district boundaries,41329,2020
LB1067,Erdman,Referral,Provide for the crossing of a controlled-access highway by an all-terrain vehicle or utility-type vehicle,41513,2020
LB1068,Hunt,General File,Adopt the Interior Design Voluntary Registration Act,40893,2020
LB1069,Bolz,Referral,Appropriate funds to the Board of Regents of the University of Nebraska,41423,2020
LB1070,Murman,General File,Change a sales tax exemption relating to agricultural machinery and equipment,41320,2020
LB1071,Hughes,Indefinitely postponed,Adopt the Wildlife Damage Recovery Act,40892,2020
LB1072,Hughes,Referral,Authorize certain natural resources districts to issue flood protection bonds and use bond proceeds as prescribed,41365,2020
LB1073,DeBoer,Referral,"Create the School Financing Review Commission, add basic funding aid, and change adjusted valuations, the local effort rate, and certification dates",41198,2020
LB1074,Linehan,General File,Change provisions relating to the assessment of improvements on leased lands and the collection of certain fees and taxes,41194,2020
LB1075,Linehan,Referral,Change tax provisions relating to net book value,41031,2020
LB1076,Bolz,Referral,Change provisions relating to eligible programs for the Community College Gap Assistance Program Act,40719,2020
LB1077,Wayne,Referral,Change legislative declarations and findings relating to traffic congestion in municipal areas,40848,2020
LB1078,Wayne,Referral,Adopt the Municipal Inland Port Authority Act,41083,2020
LB1079,Wishart,Referral,Appropriate funds to the Nebraska State Patrol,41498,2020
LB1080,Lathrop,Select File,Require school policies that prohibit sexual conduct with students and former students,41314,2020
LB1081,Morfeld,Referral,Change provisions on postconviction relief,40699,2020
LB1082,Morfeld,Referral,Increase the indigent defense court filing fee,41572,2020
LB1083,Morfeld,General File,Change provisions relating to the Meadowlark Program,41346,2020
LB1084,Kolterman,Referral,Adopt the Nebraska Transformational Projects Act,41558,2020
LB1085,Howard,Referral,Change terminology related to the Public Counsel,41499,2020
LB1086,"Hansen, M.",General File,Provide for poll watchers under the Election Act,41039,2020
LB1087,Friesen,Referral,Change provisions relating to partial payments of property taxes,41444,2020
LB1088,Friesen,General File,Provide for personalized message specialty license plates,41418,2020
LB1089,Vargas,Referral,Require students to complete the FAFSA prior to graduation from high school,41180,2020
LB1090,Blood,Referral,"Allow local governing bodies to suspend liquor licenses for nonpayment of taxes, fees, and special assessments",41348,2020
LB1091,Vargas,Referral,Adopt the Face Surveillance Privacy Act,41387,2020
LB1092,Stinner,Withdrawn,Change and transfer contract provisions under the Medical Assistance Act and create a fund,41359,2020
LB1093,Stinner,Referral,State intent regarding appropriations for nursing facility services under the medical assistance program,41358,2020
LB1094,Murman,Referral,Change lien provisions on support order judgments,41072,2020
LB1095,McDonnell,Referral,Authorize counties containing a city of the metropolitan class to establish juvenile justice programs and services,41282,2020
LB1096,McDonnell,Referral,Appropriate funds to the Department of Correctional Services,41517,2020
LB1097,McDonnell,Referral,Appropriate funds to the Supreme Court,41581,2020
LB1098,McDonnell,Referral,Appropriate funds to the Department of Economic Development,41546,2020
LB1099,Pansing Brooks,Referral,Create a fund under the Nebraska State Capitol Preservation and Restoration Act,40841,2020
LB1100,Bolz,Referral,State intent regarding appropriations for mental health and behavioral health services,41032,2020
