Document,Primary Introducer,Status,Description,Document ID,Year
LB409,Preister,Indefinitely postponed,Change tax levy authority of community colleges,728,2007
LB410,Howard,Indefinitely postponed,Change child welfare caseload provisions,856,2007
LB411,Howard,Indefinitely postponed,Require standards for training for certain new health and human services employees,894,2007
LB412,McGill,Indefinitely postponed,Provide duties for the Nebraska Power Review Board relating to renewable energy,258,2007
LB413,Flood,Indefinitely postponed,Change provisions governing children born out of wedlock and the offense of violation of custody,20,2007
LB414,Flood,Withdrawn,Provide for transfer of funds for substance abuse services,1038,2007
LB415,Harms,Final Reading,Change provisions relating to provisional operator's permits and other operator's licenses and permits,677,2007
LB415A,Harms,Final Reading,Appropriations bill,2076,2007
LB416,Karpisek,Indefinitely postponed,Exempt government retirement benefits from income tax,324,2007
LB417,Nantkes,Indefinitely postponed,Include invasive pneumococcal disease as a childhood immunization requirement,813,2007
LB417A,Nantkes,Indefinitely postponed,Appropriations bill,2143,2007
LB418,Erdman,Indefinitely postponed,Change Game and Parks Commission membership provisions,643,2007
LB419,Erdman,Indefinitely postponed,Authorize issuance of Nebraska Agriculture specialty and personalized message license plates,192,2007
LB420,Erdman,Indefinitely postponed,Change cigarette tax distribution and create funds,261,2007
LB421,Erdman,Indefinitely postponed,Permit issuance of multiple Purple Heart specialty plates,644,2007
LB422,Erdman,Final Reading,Change membership of the Nebraska Brand Committee,651,2007
LB423,Burling,Indefinitely postponed,Change sales and use tax collection fees,916,2007
LB424,Adams,Final Reading,"Prohibit the breathing, inhaling, or drinking of certain compounds",1030,2007
LB425,Pankonin,Final Reading,Create the Nebraska Operational Assistance Act,899,2007
LB425A,Pankonin,Final Reading,Appropriations bill,1747,2007
LB426,Pankonin,Indefinitely postponed,Adopt the Pharmacy Technician Act,862,2007
LB426A,Pankonin,Indefinitely postponed,Appropriations bill,2158,2007
LB427,Johnson,Indefinitely postponed,Change authorized procedures for dental hygienists,32,2007
LB428,Synowiecki,Indefinitely postponed,Adopt the Peace Officer Employer - Employee Relations Act,243,2007
LB429,Synowiecki,Indefinitely postponed,Exempt certain purchases by museums from sales and use tax,483,2007
LB430,Langemeier,Indefinitely postponed,Change property tax levies,809,2007
LB431,Friend,Indefinitely postponed,Provide an income tax credit for certain educational expenses,805,2007
LB432,Friend,Indefinitely postponed,Change the Act Prohibiting Unjust Discrimination in Employment Because of Age,259,2007
LB433,Friend,Indefinitely postponed,Change provisions relating to selection and obligations of presidential electors,880,2007
